id,alunoId,assessmentCompetenciaId,competenciaId,assessmentPdiId,taskLibraryId,titulo,descricao,definidaPor,isActive,createdAt,updatedAt
180001,570089,270003,30007,270001,31,Escuta Ativa,,28,0,2026-03-23 14:43:30,2026-03-23 14:51:33
180002,570089,270003,30007,270001,,Atividade Prática de Escuta Ativa,"Realizar uma escuta ativa numa conversa de pelo menos 10 minutos sem interrupção.
Executando anotações de como se sentiu, quais as dificuldades encontrou e como percebeu o outro.",28,0,2026-03-23 14:48:06,2026-03-23 14:52:49
180003,570089,270003,30007,270001,,Técnica do “Espelhamento”,"Após alguém falar, vocês deve responder começando com:

“Se eu entendi bem, você quis dizer que…”

Regra:
Não opinar
Não corrigir
Só validar entendimento

Objetivo:
Treinar escuta real",28,0,2026-03-23 14:50:04,2026-03-23 14:53:58
180004,570089,270003,30007,270001,,Regra dos 70/30,"Em toda conversa importante:
Falar no máximo 30%
Ouvir 70%

Como praticar:
Antes de responder, contar mentalmente 3 segundos
Só falar depois que o outro terminar completamente",28,0,2026-03-23 14:51:06,2026-03-23 14:54:31
180005,570089,270004,30008,270001,,Exercício de Escuta Ativa,"Realizar uma escuta ativa numa conversa de pelo menos 10 minutos sem interrupção.
Executando anotações de como se sentiu, quais as dificuldades encontrou e como percebeu o outro.",28,0,2026-03-23 14:52:41,2026-03-23 22:11:32
180006,570089,270004,30008,270001,,Técnica do “Espelhamento”,"Após alguém falar, vocês deve responder começando com:

“Se eu entendi bem, você quis dizer que…” 

Regra:
Não opinar 
Não corrigir 
Só validar entendimento 

Objetivo: Treinar escuta real",28,0,2026-03-23 14:53:52,2026-03-23 22:11:35
180007,570089,270004,30008,270001,,Regra dos 70/30,"Em toda conversa importante:
Falar no máximo 30%
Ouvir 70% 

Como praticar: Antes de responder, contar mentalmente 3 segundos Só falar depois que o outro terminar completamente",28,0,2026-03-23 14:54:26,2026-03-23 22:11:38
180008,570089,270003,30007,270001,,Troca de Perspectiva,"Em qualquer situação de conflito ou divergência:

Perguntar a si mesmo:

“Se eu estivesse no lugar dessa pessoa, o que eu estaria sentindo?”
“O que poderia estar motivando esse comportamento?”

Regra: responder antes de reagir

Objetivo:
Quebrar o padrão de julgamento rápido (muito comum no D alto)",28,0,2026-03-23 14:58:36,2026-03-23 22:15:14
180009,570089,270003,30007,270001,,Mapa da Pessoa (exercício prático),"Escolher 1 pessoa por semana (trabalho ou família) e responder:

O que essa pessoa valoriza?
O que ela teme?
O que motiva ela?
Como ela gosta de ser tratada?

Objetivo:
Desenvolver empatia cognitiva (entender o outro)",28,0,2026-03-23 15:00:19,2026-03-23 22:15:17
180010,570089,270001,30003,270001,30003,Desafio 30 Dias de Gestão do Tempo Focada,,28,1,2026-03-23 15:01:45,2026-03-23 15:01:45
180011,570089,270001,30003,270001,3,Revisão da Agenda Semanal,,28,1,2026-03-23 15:02:11,2026-03-23 15:02:11
180012,570089,270002,30004,270001,30001,Jogos de Tabuleiro,,28,1,2026-03-23 15:02:37,2026-03-23 15:02:37
180013,570089,270004,30008,270001,,Praticar Escuta Ativa,"Praticar escuta ativa em pelo menos 3 interações por semana, utilizando técnicas de não interrupção e validação do entendimento.

Critérios de sucesso:

1) Não interromper a pessoa (Conversa de 5 a 10 minutos sem interrupção);
2) Fazer pelo menos 1 pergunta antes de opinar;
3) Usar pelo menos 1 frase de espelhamento (“Se entendi bem, você quis dizer…”).

Indicador:
Registrar 3 situações reais por semana

- Como medir (simples):
✔️ Conseguiu aplicar? (Sim/Não)
✔️ A pessoa se sentiu ouvida? (feedback rápido)",28,1,2026-03-23 22:14:50,2026-03-23 22:14:50
180014,570089,270003,30007,270001,,Praticar Empatia,"Demonstrar empatia em pelo menos 2 interações por semana, identificando e validando emoções do outro antes de apresentar soluções.

Critérios de sucesso:

1) Identificar a emoção da pessoa;
2) Validar com uma frase (ex: “Entendo que isso foi difícil”);
3) Evitar julgamento ou solução imediata.

- Indicador:
Registrar 2 situações reais por semana

- Como medir:
✔️ Validou emoção? (Sim/Não)
✔️ Perguntou antes de opinar? (Sim/Não)
✔️ Feedback da pessoa (0 a 10)",28,1,2026-03-23 22:16:47,2026-03-23 22:16:47
