id,titulo,descricao,categoria,competenciaRelacionada,tipo,youtubeUrl,thumbnailUrl,duracao,instrutor,nivel,programId,isActive,ordem,createdBy,createdAt,updatedAt
150007,Baixa Tolerância à Mudanças,,Desenvolvimento Pessoal,Adaptabilidade,gratuito,https://youtu.be/y7cDF5pY3QU?si=Kr7Ouy5aTC56Ah4K,https://img.youtube.com/vi/y7cDF5pY3QU/mqdefault.jpg,21 Min,,intermediario,,1,0,1,2026-03-10 20:14:02,2026-03-10 20:14:02
150008,Plano de Desenvolvimento,,Desenvolvimento Pessoal,Inteligência Emocional Tática,gratuito,https://youtu.be/pu32_1LAZyE?si=KC1qjhlN4zpX_9An,https://img.youtube.com/vi/pu32_1LAZyE/mqdefault.jpg,18 Min,Dina Makiyama,iniciante,,1,0,1,2026-03-10 20:17:14,2026-03-10 20:17:14
150009,Plano de Carreira,,Desenvolvimento Pessoal,Presença Executiva,gratuito,https://youtu.be/vv1Czn4prts?si=BjWtiv7qTF1gEg1t,https://img.youtube.com/vi/vv1Czn4prts/mqdefault.jpg,12 Min,Dina Makiyama,iniciante,,1,0,1,2026-03-10 20:21:08,2026-03-10 20:21:08
150010,Análise Crítica,,Estratégia,Decisões Ágeis,gratuito,https://youtu.be/kpLP2L8S6pc?si=8ANHFEAc9jUreRS-,https://img.youtube.com/vi/kpLP2L8S6pc/mqdefault.jpg,22 Min,Dina Makiyama,avancado,,1,0,1,2026-03-10 20:30:15,2026-03-10 20:30:15
150011,A Liderança na Gestão de Equipes,,Liderança,Gestão de Equipes,gratuito,https://youtu.be/eFSBYy_tol4?si=uZJB6fzIKM0rmHAG,https://img.youtube.com/vi/eFSBYy_tol4/mqdefault.jpg,21 Min,Dina Makiyama,intermediario,,1,0,1,2026-03-10 20:31:53,2026-03-10 20:31:53
150012,Linguagem verbal e corporal na gestão de equipes.,,Gestão de Pessoas,Gestão de Equipes,gratuito,https://youtu.be/E-8FR7U6mYA?si=NYQqfSEw7HlLwHsG,https://img.youtube.com/vi/E-8FR7U6mYA/mqdefault.jpg,16 Min,Dina Makiyama,iniciante,,1,0,1,2026-03-10 20:36:07,2026-03-10 20:36:07
150013,Aprendendo com as Crianças,,Gestão de Pessoas,Influência,gratuito,https://youtu.be/bsT8z3_-aUg?si=kj0yNVYNWR5qua2b,https://img.youtube.com/vi/bsT8z3_-aUg/mqdefault.jpg,16 Min,Dina Makiyama,iniciante,,1,0,1,2026-03-10 20:40:01,2026-03-10 20:40:01
150014,Um grande diferencial na entrevista,,Desenvolvimento Pessoal,Autopercepção,gratuito,https://youtu.be/RdO95r7hExs?si=RRUGv6Z5OmSd4PTf,https://img.youtube.com/vi/RdO95r7hExs/mqdefault.jpg,,,iniciante,,1,0,1,2026-03-10 20:45:53,2026-03-10 20:45:53
150015,Isto vem junto com a Estabilidade. Cuidado.,,Desenvolvimento Pessoal,Inteligência Emocional,gratuito,https://youtu.be/3v3kNg16fPE?si=4tzQL-7M5e67m4I5,https://img.youtube.com/vi/3v3kNg16fPE/mqdefault.jpg,3 min,Dina Makiyama,iniciante,,1,0,1,2026-03-10 20:49:21,2026-03-10 20:49:21
150016,Planejamento de Carreira,,Desenvolvimento Pessoal,Planejamento e Organização,gratuito,https://youtu.be/5gUO1Xcl_EQ?si=oFZoejf9n9KWdz0f,https://img.youtube.com/vi/5gUO1Xcl_EQ/mqdefault.jpg,20 Min,Dina Makiyama,iniciante,,1,0,1,2026-03-10 20:52:40,2026-03-10 20:52:40
150017,Procrastinação,,Gestão de Pessoas,Planejamento e Organização,gratuito,https://youtu.be/ScMkexRgMOs?si=roacqrtTDfYzgj08,https://img.youtube.com/vi/ScMkexRgMOs/mqdefault.jpg,16 Min,Dina Makiyama,iniciante,,1,0,1,2026-03-10 21:44:42,2026-03-10 21:44:42
180001,Live Potencialidades com Sergio David,,Gestão de Pessoas,Gestão de Equipes,gratuito,https://youtu.be/fQb7PNXa0pE?si=ul8P3CntBlSZ867O,https://img.youtube.com/vi/fQb7PNXa0pE/mqdefault.jpg,35 Min,Dina Makiyama,iniciante,,1,0,1,2026-03-11 02:27:32,2026-03-11 02:27:32
180002,A Inteligência Emocional na Liderança,,Liderança,Inteligência Emocional,gratuito,https://youtu.be/u1ru-Laeoo4?si=4tYMkO_UBPnw688Y,https://img.youtube.com/vi/u1ru-Laeoo4/mqdefault.jpg,1 Min,Dina Makiyama,iniciante,,1,0,1,2026-03-11 02:29:55,2026-03-11 02:30:20
180003,Porque escolhi esta carreira,,Empreendedorismo,Visão Estratégica,gratuito,https://youtu.be/4eBJ3MFSehI?si=5OOjfYaqvrF7Ra_U,https://img.youtube.com/vi/4eBJ3MFSehI/mqdefault.jpg,5 Min,Dina Makiyama,iniciante,,1,0,1,2026-03-11 02:31:54,2026-03-11 02:31:54
210001,Liderança Situacional,Aprenda os fundamentos da liderança situacional,Liderança,Liderança,gratuito,https://www.youtube.com/watch?v=test123,,1h30,João Silva,intermediario,,1,1,1,2026-03-11 16:32:26,2026-03-11 16:32:26
210002,Liderança Situacional,Aprenda os fundamentos da liderança situacional,Liderança,Liderança,gratuito,https://www.youtube.com/watch?v=test123,,1h30,João Silva,intermediario,,1,1,1,2026-03-11 16:33:25,2026-03-11 16:33:25
210003,Liderança Situacional,Aprenda os fundamentos da liderança situacional,Liderança,Liderança,gratuito,https://www.youtube.com/watch?v=test123,,1h30,João Silva,intermediario,,1,1,1,2026-03-11 17:43:40,2026-03-11 17:43:40
210004,Liderança Situacional,Aprenda os fundamentos da liderança situacional,Liderança,Liderança,gratuito,https://www.youtube.com/watch?v=test123,,1h30,João Silva,intermediario,,1,1,1,2026-03-11 18:01:53,2026-03-11 18:01:53
210005,Liderança Situacional,Aprenda os fundamentos da liderança situacional,Liderança,Liderança,gratuito,https://www.youtube.com/watch?v=test123,,1h30,João Silva,intermediario,,1,1,1,2026-03-11 20:28:31,2026-03-11 20:28:31
210006,Liderança Situacional,Aprenda os fundamentos da liderança situacional,Liderança,Liderança,gratuito,https://www.youtube.com/watch?v=test123,,1h30,João Silva,intermediario,,1,1,1,2026-03-11 20:34:00,2026-03-11 20:34:00
240001,Liderança Situacional,Aprenda os fundamentos da liderança situacional,Liderança,Liderança,gratuito,https://www.youtube.com/watch?v=test123,,1h30,João Silva,intermediario,,1,1,1,2026-03-16 16:00:31,2026-03-16 16:00:31
240002,Liderança Situacional,Aprenda os fundamentos da liderança situacional,Liderança,Liderança,gratuito,https://www.youtube.com/watch?v=test123,,1h30,João Silva,intermediario,,1,1,1,2026-03-16 16:13:42,2026-03-16 16:13:42
240003,Liderança Situacional,Aprenda os fundamentos da liderança situacional,Liderança,Liderança,gratuito,https://www.youtube.com/watch?v=test123,,1h30,João Silva,intermediario,,1,1,1,2026-03-16 16:28:22,2026-03-16 16:28:22
240004,Liderança Situacional,Aprenda os fundamentos da liderança situacional,Liderança,Liderança,gratuito,https://www.youtube.com/watch?v=test123,,1h30,João Silva,intermediario,,1,1,1,2026-03-16 16:36:44,2026-03-16 16:36:44
240005,Liderança Situacional,Aprenda os fundamentos da liderança situacional,Liderança,Liderança,gratuito,https://www.youtube.com/watch?v=test123,,1h30,João Silva,intermediario,,1,1,1,2026-03-16 17:57:25,2026-03-16 17:57:25
240006,Liderança Situacional,Aprenda os fundamentos da liderança situacional,Liderança,Liderança,gratuito,https://www.youtube.com/watch?v=test123,,1h30,João Silva,intermediario,,1,1,1,2026-03-16 18:55:54,2026-03-16 18:55:54
240007,Liderança Situacional,Aprenda os fundamentos da liderança situacional,Liderança,Liderança,gratuito,https://www.youtube.com/watch?v=test123,,1h30,João Silva,intermediario,,1,1,1,2026-03-16 19:14:12,2026-03-16 19:14:12
240008,Liderança Situacional,Aprenda os fundamentos da liderança situacional,Liderança,Liderança,gratuito,https://www.youtube.com/watch?v=test123,,1h30,João Silva,intermediario,,1,1,1,2026-03-16 21:42:02,2026-03-16 21:42:02
240009,Liderança Situacional,Aprenda os fundamentos da liderança situacional,Liderança,Liderança,gratuito,https://www.youtube.com/watch?v=test123,,1h30,João Silva,intermediario,,1,1,1,2026-03-16 21:47:41,2026-03-16 21:47:41
240010,Liderança Situacional,Aprenda os fundamentos da liderança situacional,Liderança,Liderança,gratuito,https://www.youtube.com/watch?v=test123,,1h30,João Silva,intermediario,,1,1,1,2026-03-16 21:55:46,2026-03-16 21:55:46
240011,Liderança Situacional,Aprenda os fundamentos da liderança situacional,Liderança,Liderança,gratuito,https://www.youtube.com/watch?v=test123,,1h30,João Silva,intermediario,,1,1,1,2026-03-16 22:19:12,2026-03-16 22:19:12
240012,Liderança Situacional,Aprenda os fundamentos da liderança situacional,Liderança,Liderança,gratuito,https://www.youtube.com/watch?v=test123,,1h30,João Silva,intermediario,,1,1,1,2026-03-16 22:22:45,2026-03-16 22:22:45
240013,Liderança Situacional,Aprenda os fundamentos da liderança situacional,Liderança,Liderança,gratuito,https://www.youtube.com/watch?v=test123,,1h30,João Silva,intermediario,,1,1,1,2026-03-16 22:28:46,2026-03-16 22:28:46
240014,Liderança Situacional,Aprenda os fundamentos da liderança situacional,Liderança,Liderança,gratuito,https://www.youtube.com/watch?v=test123,,1h30,João Silva,intermediario,,1,1,1,2026-03-16 22:40:04,2026-03-16 22:40:04
240015,Liderança Situacional,Aprenda os fundamentos da liderança situacional,Liderança,Liderança,gratuito,https://www.youtube.com/watch?v=test123,,1h30,João Silva,intermediario,,1,1,1,2026-03-17 00:54:14,2026-03-17 00:54:14
240016,Liderança Situacional,Aprenda os fundamentos da liderança situacional,Liderança,Liderança,gratuito,https://www.youtube.com/watch?v=test123,,1h30,João Silva,intermediario,,1,1,1,2026-03-17 01:26:57,2026-03-17 01:26:57
240017,Liderança Situacional,Aprenda os fundamentos da liderança situacional,Liderança,Liderança,gratuito,https://www.youtube.com/watch?v=test123,,1h30,João Silva,intermediario,,1,1,1,2026-03-17 01:51:34,2026-03-17 01:51:34
240018,Liderança Situacional,Aprenda os fundamentos da liderança situacional,Liderança,Liderança,gratuito,https://www.youtube.com/watch?v=test123,,1h30,João Silva,intermediario,,1,1,1,2026-03-17 02:01:17,2026-03-17 02:01:17
240019,Liderança Situacional,Aprenda os fundamentos da liderança situacional,Liderança,Liderança,gratuito,https://www.youtube.com/watch?v=test123,,1h30,João Silva,intermediario,,1,1,1,2026-03-17 02:09:03,2026-03-17 02:09:03
270001,Liderança Situacional,Aprenda os fundamentos da liderança situacional,Liderança,Liderança,gratuito,https://www.youtube.com/watch?v=test123,,1h30,João Silva,intermediario,,1,1,1,2026-03-17 10:43:38,2026-03-17 10:43:38
300001,Liderança Situacional,Aprenda os fundamentos da liderança situacional,Liderança,Liderança,gratuito,https://www.youtube.com/watch?v=test123,,1h30,João Silva,intermediario,,1,1,1,2026-03-17 13:46:04,2026-03-17 13:46:04
300002,Liderança Situacional,Aprenda os fundamentos da liderança situacional,Liderança,Liderança,gratuito,https://www.youtube.com/watch?v=test123,,1h30,João Silva,intermediario,,1,1,1,2026-03-17 13:54:04,2026-03-17 13:54:04
300003,Liderança Situacional,Aprenda os fundamentos da liderança situacional,Liderança,Liderança,gratuito,https://www.youtube.com/watch?v=test123,,1h30,João Silva,intermediario,,1,1,1,2026-03-17 22:10:47,2026-03-17 22:10:47
300004,Liderança Situacional,Aprenda os fundamentos da liderança situacional,Liderança,Liderança,gratuito,https://www.youtube.com/watch?v=test123,,1h30,João Silva,intermediario,,1,1,1,2026-03-17 22:57:24,2026-03-17 22:57:24
300005,Liderança Situacional,Aprenda os fundamentos da liderança situacional,Liderança,Liderança,gratuito,https://www.youtube.com/watch?v=test123,,1h30,João Silva,intermediario,,1,1,1,2026-03-17 23:12:25,2026-03-17 23:12:25
300006,Liderança Situacional,Aprenda os fundamentos da liderança situacional,Liderança,Liderança,gratuito,https://www.youtube.com/watch?v=test123,,1h30,João Silva,intermediario,,1,1,1,2026-03-17 23:37:11,2026-03-17 23:37:11
300007,Liderança Situacional,Aprenda os fundamentos da liderança situacional,Liderança,Liderança,gratuito,https://www.youtube.com/watch?v=test123,,1h30,João Silva,intermediario,,1,1,1,2026-03-17 23:37:39,2026-03-17 23:37:39
300008,Liderança Situacional,Aprenda os fundamentos da liderança situacional,Liderança,Liderança,gratuito,https://www.youtube.com/watch?v=test123,,1h30,João Silva,intermediario,,1,1,1,2026-03-17 23:48:06,2026-03-17 23:48:06
300009,Liderança Situacional,Aprenda os fundamentos da liderança situacional,Liderança,Liderança,gratuito,https://www.youtube.com/watch?v=test123,,1h30,João Silva,intermediario,,1,1,1,2026-03-18 01:05:23,2026-03-18 01:05:23
300010,Liderança Situacional,Aprenda os fundamentos da liderança situacional,Liderança,Liderança,gratuito,https://www.youtube.com/watch?v=test123,,1h30,João Silva,intermediario,,1,1,1,2026-03-18 01:16:42,2026-03-18 01:16:42
300011,Liderança Situacional,Aprenda os fundamentos da liderança situacional,Liderança,Liderança,gratuito,https://www.youtube.com/watch?v=test123,,1h30,João Silva,intermediario,,1,1,1,2026-03-18 01:23:33,2026-03-18 01:23:33
330001,Liderança Situacional,Aprenda os fundamentos da liderança situacional,Liderança,Liderança,gratuito,https://www.youtube.com/watch?v=test123,,1h30,João Silva,intermediario,,1,1,1,2026-03-18 20:07:57,2026-03-18 20:07:57
330002,Liderança Situacional,Aprenda os fundamentos da liderança situacional,Liderança,Liderança,gratuito,https://www.youtube.com/watch?v=test123,,1h30,João Silva,intermediario,,1,1,1,2026-03-19 00:35:18,2026-03-19 00:35:18
330003,Liderança Situacional,Aprenda os fundamentos da liderança situacional,Liderança,Liderança,gratuito,https://www.youtube.com/watch?v=test123,,1h30,João Silva,intermediario,,1,1,1,2026-03-19 01:35:39,2026-03-19 01:35:39
330004,Liderança Situacional,Aprenda os fundamentos da liderança situacional,Liderança,Liderança,gratuito,https://www.youtube.com/watch?v=test123,,1h30,João Silva,intermediario,,1,1,1,2026-03-19 01:52:54,2026-03-19 01:52:54
330005,Liderança Situacional,Aprenda os fundamentos da liderança situacional,Liderança,Liderança,gratuito,https://www.youtube.com/watch?v=test123,,1h30,João Silva,intermediario,,1,1,1,2026-03-19 01:53:12,2026-03-19 01:53:12
330006,Liderança Situacional,Aprenda os fundamentos da liderança situacional,Liderança,Liderança,gratuito,https://www.youtube.com/watch?v=test123,,1h30,João Silva,intermediario,,1,1,1,2026-03-19 01:53:31,2026-03-19 01:53:31
360001,Liderança Situacional,Aprenda os fundamentos da liderança situacional,Liderança,Liderança,gratuito,https://www.youtube.com/watch?v=test123,,1h30,João Silva,intermediario,,1,1,1,2026-03-19 18:37:07,2026-03-19 18:37:07
360002,Liderança Situacional,Aprenda os fundamentos da liderança situacional,Liderança,Liderança,gratuito,https://www.youtube.com/watch?v=test123,,1h30,João Silva,intermediario,,1,1,1,2026-03-19 19:20:49,2026-03-19 19:20:49
360003,Liderança Situacional,Aprenda os fundamentos da liderança situacional,Liderança,Liderança,gratuito,https://www.youtube.com/watch?v=test123,,1h30,João Silva,intermediario,,1,1,1,2026-03-19 19:21:10,2026-03-19 19:21:10
360004,Liderança Situacional,Aprenda os fundamentos da liderança situacional,Liderança,Liderança,gratuito,https://www.youtube.com/watch?v=test123,,1h30,João Silva,intermediario,,1,1,1,2026-03-19 19:21:32,2026-03-19 19:21:32
360005,Liderança Situacional,Aprenda os fundamentos da liderança situacional,Liderança,Liderança,gratuito,https://www.youtube.com/watch?v=test123,,1h30,João Silva,intermediario,,1,1,1,2026-03-19 20:08:50,2026-03-19 20:08:50
360006,Liderança Situacional,Aprenda os fundamentos da liderança situacional,Liderança,Liderança,gratuito,https://www.youtube.com/watch?v=test123,,1h30,João Silva,intermediario,,1,1,1,2026-03-19 21:59:11,2026-03-19 21:59:11
360007,Liderança Situacional,Aprenda os fundamentos da liderança situacional,Liderança,Liderança,gratuito,https://www.youtube.com/watch?v=test123,,1h30,João Silva,intermediario,,1,1,1,2026-03-19 22:21:38,2026-03-19 22:21:38
360008,Liderança Situacional,Aprenda os fundamentos da liderança situacional,Liderança,Liderança,gratuito,https://www.youtube.com/watch?v=test123,,1h30,João Silva,intermediario,,1,1,1,2026-03-19 22:40:54,2026-03-19 22:40:54
360009,Liderança Situacional,Aprenda os fundamentos da liderança situacional,Liderança,Liderança,gratuito,https://www.youtube.com/watch?v=test123,,1h30,João Silva,intermediario,,1,1,1,2026-03-19 22:41:15,2026-03-19 22:41:15
360010,Liderança Situacional,Aprenda os fundamentos da liderança situacional,Liderança,Liderança,gratuito,https://www.youtube.com/watch?v=test123,,1h30,João Silva,intermediario,,1,1,1,2026-03-19 22:49:21,2026-03-19 22:49:21
390001,Liderança Situacional,Aprenda os fundamentos da liderança situacional,Liderança,Liderança,gratuito,https://www.youtube.com/watch?v=test123,,1h30,João Silva,intermediario,,1,1,1,2026-03-20 16:20:26,2026-03-20 16:20:26
390002,Liderança Situacional,Aprenda os fundamentos da liderança situacional,Liderança,Liderança,gratuito,https://www.youtube.com/watch?v=test123,,1h30,João Silva,intermediario,,1,1,1,2026-03-20 23:23:05,2026-03-20 23:23:05
390003,Liderança Situacional,Aprenda os fundamentos da liderança situacional,Liderança,Liderança,gratuito,https://www.youtube.com/watch?v=test123,,1h30,João Silva,intermediario,,1,1,1,2026-03-20 23:56:42,2026-03-20 23:56:42
390004,Liderança Situacional,Aprenda os fundamentos da liderança situacional,Liderança,Liderança,gratuito,https://www.youtube.com/watch?v=test123,,1h30,João Silva,intermediario,,1,1,1,2026-03-21 00:22:27,2026-03-21 00:22:27
390005,Liderança Situacional,Aprenda os fundamentos da liderança situacional,Liderança,Liderança,gratuito,https://www.youtube.com/watch?v=test123,,1h30,João Silva,intermediario,,1,1,1,2026-03-21 00:43:16,2026-03-21 00:43:16
420001,Liderança Situacional,Aprenda os fundamentos da liderança situacional,Liderança,Liderança,gratuito,https://www.youtube.com/watch?v=test123,,1h30,João Silva,intermediario,,1,1,1,2026-03-21 19:37:38,2026-03-21 19:37:38
420002,Liderança Situacional,Aprenda os fundamentos da liderança situacional,Liderança,Liderança,gratuito,https://www.youtube.com/watch?v=test123,,1h30,João Silva,intermediario,,1,1,1,2026-03-21 19:47:36,2026-03-21 19:47:36
420003,Liderança Situacional,Aprenda os fundamentos da liderança situacional,Liderança,Liderança,gratuito,https://www.youtube.com/watch?v=test123,,1h30,João Silva,intermediario,,1,1,1,2026-03-21 19:56:47,2026-03-21 19:56:47
420004,Liderança Situacional,Aprenda os fundamentos da liderança situacional,Liderança,Liderança,gratuito,https://www.youtube.com/watch?v=test123,,1h30,João Silva,intermediario,,1,1,1,2026-03-21 20:01:12,2026-03-21 20:01:12
450001,Liderança Situacional,Aprenda os fundamentos da liderança situacional,Liderança,Liderança,gratuito,https://www.youtube.com/watch?v=test123,,1h30,João Silva,intermediario,,1,1,1,2026-03-21 22:31:41,2026-03-21 22:31:41
450002,Liderança Situacional,Aprenda os fundamentos da liderança situacional,Liderança,Liderança,gratuito,https://www.youtube.com/watch?v=test123,,1h30,João Silva,intermediario,,1,1,1,2026-03-21 22:39:51,2026-03-21 22:39:51
450003,Liderança Situacional,Aprenda os fundamentos da liderança situacional,Liderança,Liderança,gratuito,https://www.youtube.com/watch?v=test123,,1h30,João Silva,intermediario,,1,1,1,2026-03-21 22:51:40,2026-03-21 22:51:40
450004,Liderança Situacional,Aprenda os fundamentos da liderança situacional,Liderança,Liderança,gratuito,https://www.youtube.com/watch?v=test123,,1h30,João Silva,intermediario,,1,1,1,2026-03-21 22:52:03,2026-03-21 22:52:03
450005,Liderança Situacional,Aprenda os fundamentos da liderança situacional,Liderança,Liderança,gratuito,https://www.youtube.com/watch?v=test123,,1h30,João Silva,intermediario,,1,1,1,2026-03-21 23:23:46,2026-03-21 23:23:46
450006,Liderança Situacional,Aprenda os fundamentos da liderança situacional,Liderança,Liderança,gratuito,https://www.youtube.com/watch?v=test123,,1h30,João Silva,intermediario,,1,1,1,2026-03-21 23:42:11,2026-03-21 23:42:11
480001,Liderança Situacional,Aprenda os fundamentos da liderança situacional,Liderança,Liderança,gratuito,https://www.youtube.com/watch?v=test123,,1h30,João Silva,intermediario,,1,1,1,2026-03-23 14:51:03,2026-03-23 14:51:03
480002,Liderança Situacional,Aprenda os fundamentos da liderança situacional,Liderança,Liderança,gratuito,https://www.youtube.com/watch?v=test123,,1h30,João Silva,intermediario,,1,1,1,2026-03-23 14:51:27,2026-03-23 14:51:27
480003,Liderança Situacional,Aprenda os fundamentos da liderança situacional,Liderança,Liderança,gratuito,https://www.youtube.com/watch?v=test123,,1h30,João Silva,intermediario,,1,1,1,2026-03-23 15:17:02,2026-03-23 15:17:02
480004,Liderança Situacional,Aprenda os fundamentos da liderança situacional,Liderança,Liderança,gratuito,https://www.youtube.com/watch?v=test123,,1h30,João Silva,intermediario,,1,1,1,2026-03-24 00:31:26,2026-03-24 00:31:26
480005,Liderança Situacional,Aprenda os fundamentos da liderança situacional,Liderança,Liderança,gratuito,https://www.youtube.com/watch?v=test123,,1h30,João Silva,intermediario,,1,1,1,2026-03-24 02:31:23,2026-03-24 02:31:23
510001,Liderança Situacional,Aprenda os fundamentos da liderança situacional,Liderança,Liderança,gratuito,https://www.youtube.com/watch?v=test123,,1h30,João Silva,intermediario,,1,1,1,2026-03-24 15:39:37,2026-03-24 15:39:37
510002,Liderança Situacional,Aprenda os fundamentos da liderança situacional,Liderança,Liderança,gratuito,https://www.youtube.com/watch?v=test123,,1h30,João Silva,intermediario,,1,1,1,2026-03-24 15:56:23,2026-03-24 15:56:23
